قیمت نقدی,قیمت زنده,تغییر,کمترین,بیشترین,زمان,
سکه امامی,"755,100,000",(0%) 0,"754,800,000","763,100,000",۹ اسفند,
سکه بهار آزادی,"720,150,000",(0%) 0,"719,700,000","728,300,000",۹ اسفند,
نیم سکه,"430,000,000",(0%) 0,"430,000,000","434,000,000",۹ اسفند,
ربع سکه,"219,000,000",(0%) 0,"219,000,000","221,000,000",۹ اسفند,
سکه گرمی,"111,000,000",(0%) 0,"111,000,000","112,000,000",۹ اسفند,

قیمت تک فروشی,قیمت زنده,تغییر,کمترین,بیشترین,زمان,
سکه امامی,"756,350,000",(0%) 0,"756,300,000","766,550,000",۹ اسفند,
سکه بهار آزادی,"721,000,000",(0%) 0,"720,600,000","729,200,000",۹ اسفند,
نیم سکه,"430,600,000",(0%) 0,"430,600,000","434,600,000",۹ اسفند,
ربع سکه,"219,400,000",(0%) 0,"219,400,000","221,400,000",۹ اسفند,
سکه گرمی,"111,300,000",(0%) 0,"111,300,000","112,300,000",۹ اسفند,

حباب سکه,قیمت زنده,تغییر,کمترین,بیشترین,زمان,
حباب سکه امامی,"120,390,000",(0%) 0,"118,590,000","130,100,000",۹ اسفند,
حباب سکه بهار آزادی,"85,440,000",(0%) 0,"83,440,000","92,750,000",۹ اسفند,
حباب نیم سکه,"112,740,000",(0%) 0,"111,780,000","116,610,000",۹ اسفند,
حباب ربع سکه,"60,340,000",(0%) 0,"59,860,000","62,460,000",۹ اسفند,
حباب سکه گرمی,"32,940,000",(0%) 0,"32,710,000","34,000,000",۹ اسفند,

سکه در بورس,قیمت زنده,تغییر,کمترین,بیشترین,زمان,
تمام سکه صادرات,"5,543,000",(0%) 0,"5,541,005","5,568,887",۳۰ دی,
تمام سکه ملت,"3,900,001",(0%) 0,"3,900,001","3,900,001",۷ مهر,
تمام سکه رفاه,"7,587,003",(0%) 0,"7,587,003","7,635,008",۸ اسفند,
تمام سکه آینده,"7,801,111",(0%) 0,"7,801,111","7,833,195",۸ اسفند,
تمام سکه سامان,"7,833,195",(0%) 0,"7,833,195","7,833,195",۸ اسفند,

سایر سکه‌ها,قیمت زنده,تغییر,کمترین,بیشترین,زمان,
تمام سکه (قبل 86),718000000,(0%) 0,718000000,727000000,۹ اسفند,
نیم سکه (قبل 86),340000000,(0%) 0,340000000,340000000,۹ اسفند,
ربع سکه (قبل 86),178000000,(0%) 0,178000000,178000000,۹ اسفند,

